time_since_TG_s,397_magnetic_lat_deg,397_magnetic_lon_deg,398_magnetic_lat_deg,398_magnetic_lon_deg
158.150000,66.78170013,-91.24412537,66.55868530,-90.67239380
158.200000,66.78217316,-91.24430847,66.55921936,-90.67235565
158.250000,66.78263855,-91.24449158,66.55975342,-90.67232513
158.300000,66.78311157,-91.24467468,66.56028748,-90.67228699
158.350000,66.78357697,-91.24485779,66.56082153,-90.67225647
158.400000,66.78404236,-91.24504089,66.56134796,-90.67222595
158.450000,66.78451538,-91.24522400,66.56188202,-90.67218781
158.500000,66.78498077,-91.24541473,66.56241608,-90.67215729
158.550000,66.78544617,-91.24559784,66.56295013,-90.67212677
158.600000,66.78591919,-91.24578094,66.56348419,-90.67208862
158.650000,66.78638458,-91.24596405,66.56401825,-90.67205811
158.700000,66.78684998,-91.24614716,66.56455231,-90.67201996
158.750000,66.78732300,-91.24633026,66.56508636,-90.67198944
158.800000,66.78778839,-91.24651337,66.56562042,-90.67195892
158.850000,66.78825378,-91.24669647,66.56614685,-90.67192078
158.900000,66.78872681,-91.24687958,66.56668091,-90.67189026
158.950000,66.78919220,-91.24706268,66.56721497,-90.67185974
159.000000,66.78965759,-91.24724579,66.56774902,-90.67182159
159.050000,66.79013062,-91.24743652,66.56828308,-90.67179108
159.100000,66.79059601,-91.24761963,66.56880951,-90.67176056
159.150000,66.79106140,-91.24780273,66.56934357,-90.67172241
159.200000,66.79152679,-91.24798584,66.56987762,-90.67169189
159.250000,66.79199982,-91.24816895,66.57041168,-90.67165375
159.300000,66.79246521,-91.24835205,66.57094574,-90.67162323
159.350000,66.79293060,-91.24853516,66.57147217,-90.67159271
159.400000,66.79339600,-91.24871826,66.57200623,-90.67155457
159.450000,66.79386902,-91.24890137,66.57254028,-90.67152405
159.500000,66.79433441,-91.24908447,66.57307434,-90.67149353
159.550000,66.79479980,-91.24926758,66.57360077,-90.67145538
159.600000,66.79526520,-91.24945068,66.57413483,-90.67142487
159.650000,66.79573059,-91.24964142,66.57466888,-90.67139435
159.700000,66.79620361,-91.24982452,66.57519531,-90.67135620
159.750000,66.79666901,-91.25000763,66.57572937,-90.67132568
159.800000,66.79713440,-91.25019073,66.57626343,-90.67128754
159.850000,66.79759979,-91.25037384,66.57679749,-90.67125702
159.900000,66.79806519,-91.25055695,66.57732391,-90.67122650
159.950000,66.79853058,-91.25074005,66.57785797,-90.67118835
160.000000,66.79900360,-91.25092316,66.57839203,-90.67115784
160.050000,66.79946899,-91.25110626,66.57891846,-90.67112732
160.100000,66.79993439,-91.25128937,66.57945251,-90.67108917
160.150000,66.80039978,-91.25148010,66.57997894,-90.67105865
160.200000,66.80086517,-91.25166321,66.58051300,-90.67102051
160.250000,66.80133057,-91.25184631,66.58104706,-90.67098999
160.300000,66.80179596,-91.25202942,66.58157349,-90.67095947
160.350000,66.80226135,-91.25221252,66.58210754,-90.67092133
160.400000,66.80272675,-91.25239563,66.58263397,-90.67089081
160.450000,66.80319214,-91.25257874,66.58316803,-90.67086029
160.500000,66.80366516,-91.25276184,66.58370209,-90.67082214
160.550000,66.80413055,-91.25294495,66.58422852,-90.67079163
160.600000,66.80459595,-91.25312805,66.58476257,-90.67076111
160.650000,66.80506134,-91.25331879,66.58528900,-90.67072296
160.700000,66.80552673,-91.25350189,66.58582306,-90.67069244
160.750000,66.80599213,-91.25368500,66.58634949,-90.67065430
160.800000,66.80645752,-91.25386810,66.58688354,-90.67062378
160.850000,66.80692291,-91.25405121,66.58740997,-90.67059326
160.900000,66.80738831,-91.25423431,66.58794403,-90.67055511
160.950000,66.80785370,-91.25441742,66.58847046,-90.67052460
161.000000,66.80831909,-91.25460052,66.58900452,-90.67049408
161.050000,66.80878448,-91.25478363,66.58953094,-90.67045593
161.100000,66.80924988,-91.25496674,66.59006500,-90.67042542
161.150000,66.80971527,-91.25514984,66.59059143,-90.67038727
161.200000,66.81018066,-91.25533295,66.59112549,-90.67035675
161.250000,66.81064606,-91.25552368,66.59165192,-90.67032623
161.300000,66.81111145,-91.25570679,66.59218597,-90.67028809
161.350000,66.81157684,-91.25588989,66.59271240,-90.67025757
161.400000,66.81204224,-91.25607300,66.59323883,-90.67022705
161.450000,66.81250763,-91.25625610,66.59377289,-90.67018890
161.500000,66.81296539,-91.25643921,66.59429932,-90.67015839
161.550000,66.81343079,-91.25662231,66.59483337,-90.67012787
161.600000,66.81389618,-91.25680542,66.59535980,-90.67008972
161.650000,66.81436157,-91.25698853,66.59588623,-90.67005920
161.700000,66.81482697,-91.25717163,66.59642029,-90.67002106
161.750000,66.81529236,-91.25736237,66.59694672,-90.66999054
161.800000,66.81575775,-91.25754547,66.59748077,-90.66996002
161.850000,66.81622314,-91.25772858,66.59800720,-90.66992188
161.900000,66.81668854,-91.25791168,66.59853363,-90.66989136
161.950000,66.81714630,-91.25809479,66.59906006,-90.66986084
162.000000,66.81761169,-91.25827789,66.59959412,-90.66982269
162.050000,66.81807709,-91.25846100,66.60012054,-90.66979218
162.100000,66.81854248,-91.25864410,66.60064697,-90.66976166
162.150000,66.81900787,-91.25882721,66.60118103,-90.66972351
162.200000,66.81946564,-91.25901031,66.60170746,-90.66969299
162.250000,66.81993103,-91.25919342,66.60223389,-90.66965485
162.300000,66.82039642,-91.25938416,66.60276794,-90.66962433
162.350000,66.82086182,-91.25956726,66.60329437,-90.66959381
162.400000,66.82132721,-91.25975037,66.60382080,-90.66955566
162.450000,66.82178497,-91.25993347,66.60434723,-90.66952515
162.500000,66.82225037,-91.26011658,66.60488129,-90.66949463
162.550000,66.82271576,-91.26029968,66.60540771,-90.66945648
162.600000,66.82318115,-91.26048279,66.60593414,-90.66942596
162.650000,66.82363892,-91.26066589,66.60646057,-90.66938782
162.700000,66.82410431,-91.26084900,66.60698700,-90.66935730
162.750000,66.82456970,-91.26103210,66.60752106,-90.66932678
162.800000,66.82503510,-91.26122284,66.60804749,-90.66928864
162.850000,66.82549286,-91.26140594,66.60857391,-90.66925812
162.900000,66.82595825,-91.26158905,66.60910034,-90.66922760
162.950000,66.82642365,-91.26177216,66.60962677,-90.66918945
163.000000,66.82688141,-91.26195526,66.61015320,-90.66915894
163.050000,66.82734680,-91.26213837,66.61068726,-90.66912842
163.100000,66.82781219,-91.26232147,66.61121368,-90.66909027
163.150000,66.82827759,-91.26250458,66.61174011,-90.66905975
163.200000,66.82873535,-91.26268768,66.61226654,-90.66902161
163.250000,66.82920074,-91.26287079,66.61279297,-90.66899109
163.300000,66.82966614,-91.26305389,66.61331940,-90.66896057
163.350000,66.83012390,-91.26324463,66.61384583,-90.66892242
163.400000,66.83058929,-91.26342773,66.61437225,-90.66889191
163.450000,66.83104706,-91.26361084,66.61489868,-90.66886139
163.500000,66.83151245,-91.26379395,66.61542511,-90.66882324
163.550000,66.83197784,-91.26397705,66.61595917,-90.66879272
163.600000,66.83243561,-91.26416016,66.61648560,-90.66876221
163.650000,66.83290100,-91.26434326,66.61701202,-90.66872406
163.700000,66.83335876,-91.26452637,66.61753845,-90.66869354
163.750000,66.83382416,-91.26470947,66.61806488,-90.66865540
163.800000,66.83428955,-91.26489258,66.61859131,-90.66862488
163.850000,66.83474731,-91.26508331,66.61911774,-90.66859436
163.900000,66.83521271,-91.26526642,66.61964417,-90.66855621
163.950000,66.83567047,-91.26544952,66.62017059,-90.66852570
164.000000,66.83613586,-91.26563263,66.62069702,-90.66848755
164.050000,66.83659363,-91.26581573,66.62122345,-90.66845703
164.100000,66.83705902,-91.26599884,66.62174988,-90.66842651
164.150000,66.83751678,-91.26618195,66.62227631,-90.66838837
164.200000,66.83798218,-91.26636505,66.62280273,-90.66835785
